dataset,subset,model,fold,n_rows,auc,ece,brier
assist2012,deep,akt,1,536087,0.7727722884734549,0.014934749770093318,0.16831592400655118
assist2012,deep,akt,2,536087,0.7717345451946434,0.01476925499032806,0.16871821258903874
assist2012,deep,akt,3,536087,0.7715087229614617,0.014136657855907713,0.16869858302922847
assist2012,deep,akt,4,536087,0.7724924247200833,0.01261043505998091,0.1683146925310444
assist2012,deep,simplekt,0,536087,0.7691879900433138,0.017697506934508764,0.1694627725308019
assist2012,deep,simplekt,1,536087,0.7702729383928955,0.019192492449919513,0.1693454693651777
assist2012,deep,simplekt,2,536087,0.7709999003537864,0.008496374469069406,0.16852769252664213
assist2012,deep,simplekt,3,536087,0.7702069133898382,0.015382536603200601,0.16908951669637579
assist2012,deep,simplekt,4,536087,0.7706972329997912,0.01560763234325773,0.16881238434739138
assist2015,classical,bkt,0,138458,0.6988396554410856,0.007777161533661969,0.17705468862960927
assist2015,classical,bkt,1,138458,0.6989960568302095,0.00726007088331237,0.1770333785979978
assist2015,classical,bkt,2,138458,0.699135785826616,0.0069974131118037105,0.17700441032354688
assist2015,classical,bkt,3,138458,0.6989866501582369,0.008391032432953464,0.1770249023305922
assist2015,classical,bkt,4,138458,0.6992027110875997,0.007014679720815538,0.17700230441203552
assist2015,classical,pfa,0,138458,0.6826752389081978,0.00752674022747633,0.1808669292873758
assist2015,classical,pfa,1,138458,0.6829409216816499,0.007068336353236797,0.18084908971201363
assist2015,classical,pfa,2,138458,0.6826723054340587,0.00772490085028915,0.18083804201301976
assist2015,classical,pfa,3,138458,0.682794645163546,0.008205737459315365,0.1808294090056976
assist2015,classical,pfa,4,138458,0.6837069670144611,0.007777108307803169,0.1806981950656111
assist2015,classical,pfa_recency,0,138458,0.6876852073347711,0.006562793178295999,0.1796501298838034
assist2015,classical,pfa_recency,1,138458,0.6875119980211781,0.0064858089183282164,0.1796699744929651
assist2015,classical,pfa_recency,2,138458,0.6874669461010773,0.004865434316707059,0.17963970350151903
assist2015,classical,pfa_recency,3,138458,0.6874118902684012,0.005887884465971754,0.17965947201693766
assist2015,classical,pfa_recency,4,138458,0.6883185036226266,0.006846346335316381,0.1795277538543245
assist2015,classical,elorasch,0,138458,0.6748208534219244,0.06412859174859763,0.187877431402413
assist2015,classical,elorasch,1,138458,0.6747859508824957,0.06479755389161024,0.18793008670719816
assist2015,classical,elorasch,2,138458,0.675029254621325,0.06420171862502527,0.18779772421032762
